"citation_context",citation_intent
"(   Modern veri girişi teknolojileri doğrudan veri girişi programlarına uygulanarak giriş hataları büyük ölçüde azaltılmıştır (Mullooly, 1990) .",background
"ve %100 doğrulamayı gereksiz kılmıştır (Mullooly, 1990) .",background
"Veri giriş mekanizması, kullanıcı etkileşimi için ilk ara yüz olduğu için insan-bilgisayar etkileşimi alanında yaygınlaşmaktadır (Salve ve ark., 2021) .",background
"İnsanların veri girişleri hatalı olabilir ve bu hatalı girişler olumsuz sonuçlara sebep olabilir (Barchard & Pace, 2011) .",background
"Veri giriş hatalarını tespit etmek, azaltmak ve veri kalitesini iyileştirmek için otomatik yöntemler konusunda çok az araştırma yapılmıştır (Chen ve ark., 2011) .",background
"Bu nedenlerle araştırmacılar veri girişlerini en aza indirecek çalışmaları yaparak bu alanda yeni saha uygulamalarını geliştirmelidir (Barchard & Pace, 2011) .",background
"Bunların özniteliklerini (Dash & Liu, 1997) belirlemede Delphi metodu kullanılmıştır (Ameyaw ve ark., 2016), (Zartha ve ark., 2019),   ve  .",basis
"Verilerin önişleme süreç aşaması modelin tahminlemesinde önemli bir yer tutmaktadır (Alexandropoulos ve ark., 2019) .",background
"Verinin entegrasyonu, temizlenmesi, dönüştürülmesi, azaltılması ve boyutunun küçültülmesi bu aşamada yapılmaktadır (Alasadi & Bhaya, 2017) .",basis
"Kategorik verilerin çoğunluğunun sayısal olmadığı durumda 'encoding' yöntemi kullanılarak veriler sayısallaştırılıp kullanılır (Dahouda & Joe, 2021) .",basis
"Sayısallaştırma işleminde; 'Label Encoder' metodu kullanılmıştır (Jackson & Agrawal, 2019) .",basis
"Bu pakette modellerin eğitimi için standart test verisi oranı %25 olarak alınır (Paper, 2020) .",basis
"Ada Boost algoritmasının performans sağlayabilmesi için yeterli miktarda veriye ihtiyacı vardır ve daha az veride başarım oranı düşük çıkmaktadır (Schapire, 1999) .",discuss
"Bu yöntemde veri parçalanırken verinin dağılımına göre modelin eğitim ve testinde sapma ya da aşırı öğrenme problemi ortaya çıkabilmektedir (Refaeilzadeh ve ark., 2016) .",discuss
"AdaBoost sınıflandırma algoritması hariç diğer sınıflandırma algoritmalarının başarım sonuçları birebir örtüştüğü görülmektedir. (Takcı, 2016) .",support
"yöntemlerinin kan vermeye elverişli donörlerin tespitinde kullanıldığı çalışmada Karar Ağaçları, Destek Vektör Makineleri ve K-En Yakın Komşuluk algoritması kullanılmış ve en başarılı yöntemin Destek Vektör Makineleri olduğu sonucu bulunmuştur (Karadağ, 2021) .",support
"Satış tahmininde makine öğrenme algoritalarını kullanan çalışmada en iyi r 2 skoru, hipertune edildikten sonra 0.9726 ile Rastgele Orman makine öğrenme algoritması ile tespit edilmiştir (Nacar & Erdebilli, 2021) .",support
"Makine öğrenimi ile hisse senedi değerinin tahmin edildiği çalışmada derin öğrenme modellerinden LSTM (Long Short Term Memory) mimarisi ile %95 doğruluk oranı elde edilmiştir (Gavcar & Metin, 2021) .",support
"Kablosuz Sensör Ağlarına dağıtık servis reddi saldırılarının makine öğrenme metotları kullanılarak tespit edildiği çalışmada tüm öğrenme modellerinde %99.72 ile en yüksek doğruluk oranı Rastgele Orman algoritmasında gerçekleşmiştir (Okur & Dener, 2021) .",support
"Makine öğrenmesi yöntemleriyle iş başvurularının değerlendirildiği çalışmada artırım topluluk metodunu kullanan XGBoost modeli en yüksek başarım oranına sahip olmuştur (Ereken & Tarhan, 2021) .",support
"%73 doğruluk oranı ile C4.5 karar ağacı makine öğrenme algoritması en iyi sonucu vermiştir (Boz ve ark., 2018) .",support
"en iyi sonuca ulaşılmıştır (Erdi ve ark., 2021) .",other
"Prostat kanseri tümör oluşumunun makine öğrenmesi algoritmaları ile incelendiği çalışmada kullanılan 7 adet sınıflandırıcı arasında %85.37 ile Gradyan artırma algoritması en başarılı sonuçları vermiştir (Aydın Atasoy & Demiröz, 2021) .",support
"Havadan alınan görüntüler, Dünya'nın yüzeyini ayrıntılı bir şekilde ölçmemize olanak sağlaması açısından büyük önem taşıyan bir tür veri kaynağıdır (Hu et al. 2013 .",background
"Günümüzde, uzaktan algılayıcı görüntülerin işlenmesi ile ilgili artan bir ilgi vardır (Çalışkan 2018 .",background
"ESA mimarisi, nesnelerin tespiti ve nesnelerin sınıflandırılması için çok başarılıdır (Özyurt et al. 2019",background
"Uydu görüntülerinden nesne tespiti; savunma, askeri uygulamalar, coğrafi verilerin oluşturulması, güncellenmesi, şehir çalışmaları, planlama ve izleme gibi çok çeşitli alanlarda büyük önem taşımaktadır (Stankov vd., 2014; .",background
"yıllardaki orta mekânsal çözünürlüklü Landsat görüntülerinden günümüze kadar çok yoğun bir uğraş alanı olmuştur (Zhu vd., 2012) .",background
"Bu nedenle araştırmacılar daha çok bu görüntülerden bölge özelliklerini çıkarmaya odaklanmışlardır (Chen & Hang, 2016) .",background
"Bu görüntülerinin yaygınlaşması ile çok daha fazla yöntem ve algoritma nesne tespiti için geliştirilmiş ve kullanılmıştır (Guo et al., 2018; .",background
"Nesnelerin tespitinde renk, şekil, doku gibi sadece düşük ve orta seviye özellikleri kullanan Viola-Jones Detektörü (Viola vd., 2001) , Deforme Edilebilir Parça Tabanlı Model  , Yönlendirilmiş Gradyanların Histogramı   gibi geleneksel yöntemlerin genelleştirme yetenekleri sınırlı olmaktadır  .",background
"Geleneksel yöntemler göreceli homojen nesneler içeren küçük görüntülerde umut verici performans sunmalarına rağmen, gerçek dünya veri kümelerinde daha az başarılı olmaktadır (Fischer vd., 2014) .",background
"Derin öğrenme tabanlı yöntemlerde ise oluşturulan model doğrudan görüntülerden, metinden veya sesten öğrenme işlemini gerçekleştirmektedir (Arel vd., 2010; .",background
"PASCAL VOC-2007 tarafından ise R-CNN tabanlı gemi tespiti yapılmıştır.",background
"PASCAL (The PASCAL Visual, 2007) tarafından ise R-CNN tabanlı gemi tespiti yapılmıştır.",background
"R-CNN, Fast R-CNN ve Faster R-CNN şekilde ilerleyen gelişim süreci sonrası Faster R-CNN birçok alanda nesne tespiti için kullanılmıştır (Ren vd., 2016; .",background
"tarafından yapılan çalışmada Faster R-CNN modeli kullanılarak %86 F1 skorunda mikroskop ile görüntülenen hücrelerin tespiti yapılmıştır. Sardoğan vd., (2020) tarafından yapılan çalışmada Faster R-CNN modeli hastalıklı elma yapraklarının tespitinde kullanılmış ve %86 F1 skoru ile bu işlem gerçekleştirilmiştir.",background
"Uzaktan algılanmış görüntülerindeki nesnelerin tespiti klasik bilgisayarla görme (computer vision) alanında kullanılan kırmızı, yeşil ve mavi (RGB) bantlardan oluşan renkli görüntülere oranla çok daha fazla zorluk ortaya çıkarmaktadır (Zhu vd., 2017) .",background
"Fakat bilgisayarla görme alanında kullanılan klasik RGB görüntüler ile karşılaştırıldığında uzaktan algılanmış verilerde etiketli veri miktarı oldukça azdır (Saralioglu & Gungor, 2020) .",background
"Binalar, bir şehrin oluşumunda temel bir unsur olmaktadır. (Lafarge vd., 2008) Sürdürülebilir kalkınma ile ilgili araştırmaların yürütülmesi için bina bilgilerinin çıkarılması büyük önem taşımaktadır.",background
"Çıkarılan bina bilgileri, insanların yaşam koşullarının değerlendirilmesi, bina koşullarının izlenmesi, afet risklerinin tahmin edilmesi, 3 boyutlu şehir modellemeleri, kaçak yapıların tespiti gibi pek çok araştırma için temel bir veri kaynağı olmaktadır (Nahhas vd., 2018) .",background
"Bunlardan bazılarını eşik değer kullanımı, morfolojik görüntü işleme, bağlantılı bileşen etiketleme (Maas & Vosselman 1999; ) geometrik kriterlerin kullanımı   oluşturmaktadır.",background
"geometrik kriterlerin kullanımı (Gamba & Houshmand 2000) oluşturmaktadır.",background
"Bunların dışında Liow ve Pavlidis (1990) ve Nevatia vd. (1999) tarafından yapılan çalışmalarda gölge analizi tabanlı algoritmalar önerilmiştir.",background
"Normal Vektörler, Graf Tabanlı algoritmalar ve Çoklu Çözünürlüklü (Multi-Resolution) analizler (Satari vd., 2012) bina tespiti ve çıkarımında kullanılmıştır.",background
"Benzer şekilde ISODATA (Haala & Brenner 1999) , Dempster Shafer  , Rastgele Orman  ) ve diğer sınıflandırma tabanlı algoritmalarda bina tespiti ve çıkarımı uygulamalarında kullanılmıştır.",background
"Çoğu bina tespit ve çıkarma yöntemleri belirli veri kümeleriyle (Wang &Tenhunen, 2004) Son araştırmalarda obje tespitinde bölge tabanlı R-CNN  , Fast R-CNN (Girshick 2015), Faster R-CNN ve Mask R-CNN gibi ezberleme sorununa daha dirençli olan ve hızlı tespit yöntemleri kullanılmaktadır.",background
"Çoğu bina tespit ve çıkarma yöntemleri belirli veri kümeleriyle    Son araştırmalarda obje tespitinde bölge tabanlı R-CNN (Ren vd., 2015) , Fast R-CNN (Girshick 2015), Faster R-CNN ve Mask R-CNN gibi ezberleme sorununa daha dirençli olan ve hızlı tespit yöntemleri kullanılmaktadır.",background
"Faster R-CNN modelinin uzaktan algılanmış veriler üzerinde kullanımının genelde hava fotoğrafları (Ammar vd., 2020; ve Google Earth' den indirilen görüntüler",background
"nm arasındaki spektral aralığı kapsayan sekiz adet MS bandı (yani kırmızı, yeşil, mavi ve yakın kızılötesi-1 olmak üzere dört standart bant ve kıyı, sarı, kırmızı kenar ve yakın kızılötesi 2 olmak üzere dört ek bant) içermektedir (Padwick vd., 2010) .",basis
"Bu durum piksel tabanlı sınıflandırma algoritmaları kullanıldığında çatısız evlerin yol ve çıplak toprak sınıfları ile karıştırılmasına neden olmaktadır (Saralioglu & Gungor., 2022) .",background
"Gram-Schmidt yöntemi etkili görüntü kaynaştırma yöntemlerinden biridir (Karathanassi vd., 2007; .",background
"İkinci olarak, orijinal MS verilerinin spektral özellikleri birleştirilmiş görüntüde korunmaktadır (Liv vd., 2004) .",background
"Faster R-CNN, Şekil 4'te görüldüğü gibi bir bölge öneri ağı (Region Proposal Network (RPN)) (Ren vd., 2016) ve Fast R-CNN (Girshick, 2015) olmak üzere iki modülden oluşmaktadır.",basis
"Böylece Faster R-CNN, güçlü yapısı ile görüntülerde uçtan uca nesne tespitini sağlayabilecek bir yapıda olmaktadır (Ren vd., 2016) .",basis
"Bunlardan ilki Softmax sınıflayıcı katmanı diğeri ise tespit edilen bölgenin tespit edilme doğruluğunu veren regresyon katmanıdır (Yang vd., 2017) .",basis
"Eğitim için kendisine verilen veri setlerini kullanarak öğrenme işlemi gerçekleştirirler (Saplıoğlu, 2010) .",background
"Eksik bilgi ile çalışabilmesi ve benzerlikler altında karar verebilmesi bu sistemin hemen hemen her alanda kullanılabilmesine olanak sağlamaktadır (Öztemel, 2012) .",background
"Yağış-Akış modellemeleri (Nourani, 2017; , toprak erozyonunun  , mekanik parçaların mukavemeti   ve rezervuar kapasite tahminleri   gibi çeşitli konularda kullanılmıştır.",background
", mekanik parçaların mukavemeti (Shabani a & Mazahery, 2011) ve rezervuar kapasite tahminleri   gibi çeşitli konularda kullanılmıştır.",background
"Örneğin sıkıştırılmış betonun basınç-gerilme ilişkisinin tahmini (Sahin & Bedirhanoglu, 2014) , açık kanalların optimum dizaynı  , çalışma alanlarındaki sağlıklı ve konforlu ses seviyesinin belirlenmesi  , zemin sınıflandırılması  , geotermal sistemlerdeki minerallerin bulanık olarak kontrol edilmesi   ve taşımacılığın mevsimsel etki dikkate alınarak düzenlenmesi   gibi pek çok alanda kullanılmaktadır.",background
"Mıknatıslı senkron motorların çekirdek dirençlerinden dolayı oluşan kayıpların tahmini (Erdoğan & Ozdemir, 2016) , sediment taşınımının modellenmesi  , büyük depremlerin sismik dalga hareketinin tahmini  , internet erişim sensörlerinin yerlerinin belirlenmesi   sıkıştırılmış zeminlerde şişme potansiyelinin belirlenmesi  , buhar sıkıştırmalı soğutma sistemlerinde enerjisel performansın belirlenmesi   ve delikli polimer liflerin çekme miktarının belirlenmesi    İstenilen uygunluk değerine ulaşılıncaya kadar iteratif işlemlerle süreç tekrarlanır  .",background
"İstenilen uygunluk değerine ulaşılıncaya kadar iteratif işlemlerle süreç tekrarlanır (Haznedar, et al., 2017) .",background
"Mikro aralıklı verilerin sınıflandırılması (Bilen, et al., 2015) , doğal gaz ihtiyacının modellenmesi  , nehir akımlarının tahmini  , sezgisel araç yönlendirme sistemleri   robotların ve robot parçalarının hareketlerinin oluşturulması  , ön gerilmeli beton kirişlerin optimum dizaynı   ve mikro dalga transistorlarının performans analizi   gibi pek çok alanda kullanılmaktadır.",background
"Ayrıca genetik algoritma ve doğrusal olmayan programlama kullanılarak baraj işletme modelleri geliştirilmiş ve birbiri ile karşılaştırılmıştır (Arslan, 2013; .",background
"Örneğin, bir havza içerisinde su kalitesi izleme ağı kurulması (Perez, et al., 2017) , yüksek çözünürlüklü uydu görüntülerinin gruplanması   biomedikal alanlarda uzaktan yönetimli ilaç verme problemlerinin çözümü   ve küçük ölçekli helikopterlerin optimum kontrolünün sağlanması       ve tünellerdeki yeraltı suyu problemlerinin çözümü   gibi uygulamalarda kullanılmaktadır.",background
"Yağış akış modellerinden (Niu, et al., 2018) robotik kontrol sistemlerine   kadar birçok alanda kullanılmaktadır.",background
"Sulak alanların işletmesi (Xie, et al., 2012) gibi konularda bu algoritma yönteminden faydalanılmıştır.",background
"Nükleer güç teknolojilerinden (Wu, et al., 2016) tümörlerin sınıflandırılmasına   kadar pek çok çalışmada kullanılmıştır.",background
"Telekomünikasyon (Seferoglu & Modiano, 2016) ve rüzgar türbinlerinin konumlandırılması   gibi alanlarda kullanılmıştır.",background
"Karmaşık endüstriyel problemlerin çözümünde (Haydo, 2018) ve güneş pillerinin optimizasyonu   gibi alanlarda kullanılmıştır.",background
"Örneğin su kaynaklarının optimum kullanımı (Lerma, et al., 2015) , patates cipsinin yağda kızarma süresinin belirlenmesi   ve giyilebilir sensörlü elbiselerle fiziksel aktivitelerin kısıtlanması      , optimum hazne kapasitesinin belirlenmesi  , sulama kanallarının boyutlandırılması  , yeraltı suyu yönetimi problemleri   ve robotik teknolojileri   gibi pek çok alanda kullanılmaktadır.",background
"yeraltı suyu yönetimi problemleri (Majumde & Eldho, 2016) ve robotik teknolojileri   gibi pek çok alanda kullanılmaktadır.",background
"Örneğin su kaynaklarının optimum kullanımı  , patates cipsinin yağda kızarma süresinin belirlenmesi   ve giyilebilir sensörlü elbiselerle fiziksel aktivitelerin kısıtlanması      , optimum hazne kapasitesinin belirlenmesi  , sulama kanallarının boyutlandırılması  , yeraltı suyu yönetimi problemleri   ve robotik teknolojileri (Sun, et al., 2015) gibi pek çok alanda kullanılmaktadır.",background
"Mann -Kendall testi (Mann, 1945; .",basis
"Bu teste dataların dağılım ile uyumlu olmasına gerek olmadığı için pratik bir yöntemdir (Saplıoğlu, et al., 2014) .",background
"In the present study, some artificial intelligence algorithms used in the literature were investigated. Artificial Neural Network, Fuzzy Logic, Adapted Neuro-Fuzzy Inference System, Genetic Algorithms, Artificial Bee Colony, Ant Colony, Differential Evolution, Particle Swarm, Cat Swarm, Harmony Search, Tabu Search, Scatter Search and Hill Climbing algorithms were investigated in the study.",other
"Finally, trends of published article numbers were investigated by Mann-Kendall. The potential of publishing in the near future of the studies use the investigated algorithms were discussed.",other
"Bu nedenle, özellikle biyolojik verilerin analizinde, incelenen bağımlı değişkenle ilgili olabilecek birden fazla bağımsız değişkenin birlikte etkisinin araştırıldığı faktöriyel tasarımların kullanılması daha uygun olmaktadır [1] .",background
"kontrol hipotezinin reddedilmesi durumunda, çoklu karşılaştırma testleri kullanılarak faktör seviyeleri arasındaki basit etkiler karşılaştırılmaktadır [1, .",background
"Sürekli yapıdaki bir tane bağımlı değişkenin üzerine, kategorik yapıdaki iki bağımsız değişkenin (faktörün) etkisinin incelendiği denemeler iki faktörlü denemeler olarak adlandırılır [1] .",basis
"Tip I kareler toplamı hesaplanabilirken dengesiz tasarımlarda ise regresyon yaklaşımı ile Tip III kareler toplamı hesaplanması önerilmektedir [3, .",basis
"Tip I kareler toplamı hesaplanabilirken dengesiz tasarımlarda ise regresyon yaklaşımı ile Tip III kareler toplamı hesaplanması önerilmektedir 4, .",basis
"Tip I kareler toplamının hesaplanmasında kullanılan formüller Eşitlik (1)-(  ) arasında verilmiştir 3, .",basis
"Tip III kareler toplamı hesaplanırken, Eşitlik (7)",basis
"Çoklu karşılaştırma tablosuna ilişkin olarak kullanıcı, aşağıda verilen beş farklı yorumdan uygun olanı ile bilgilendirilmektedir: [15, .",other
"PHP sunucu taraflı çalıştığından, çıktı alabilmek için girdilerin sunucuya iletilmiş olması gerekmektedir [15, .",other
"İstemci taraflı çalışan ve böylece anlık tepki veren JavaScript sayesinde hazırlanan uygulamalara dinamiklik kazandırılabilmekte ve kullanıcının anlık olarak uyarılması gereken durumlar çözümlenebilmektedir [19] .",background
"GeliĢen teknoloji ile birlikte günümüzde görüntü iĢleme yöntemlerinin birçok alanda kullanımları mevcuttur [1, .",background
"Görüntü mozaikleme ortak noktaları bulunan veya belli noktaları çakıĢan iki veya daha fazla resmin belirli algoritma ve yöntemler vasıtasıyla birleĢtirilip daha büyük alanı kapsayan görüntü elde edilmesidir [3] .",background
"Alınan bu görüntüler düz bir biçimde birbirine eklenebileceği gibi panoramik görüntü elde etmede de kullanılabilirler [4] .",background
"Kullandığı maskeleme ile Divya'nın yöntemi karanlık alanlarda etkili sonuçlar vermesine rağmen aydınlık alanlar için yetersiz kalmıĢtır [5] .",discuss
"Özellik tespiti için ölçekten bağımsız özellik dönüĢüm yöntemi (SIFT) ve yanlıĢ eĢleĢtirmeleri elemine etmek için rastgele örneklerin fikir birliği (RANSAC) algoritmalarını kullanmıĢtır [4] .",discuss
"hiyerarĢik kümeleme yöntemini kullanmıĢtır [6] .",background
"SURF yöntemlerini kıyaslamıĢ ve SURF'un çok görüntülü görüntü mozaiklemede daha doğru sonuçlar verdiği kanaatine varmıĢtır [7] .",background
"Özelliklerin çıkarılması aĢamasında Weber yerel tanımlayıcıları kullanmıĢ, bu yöntemin performansını SURF, SIFT ve ASIFT gibi güncel algoritmalarla kıyaslamıĢtır [8] .",background
"Görüntü mozaikleme, aynı sahneye ait birden fazla görüntünün içerdikleri ortak alanlara göre çakıĢtırılarak daha çok detay içeren tek bir görüntü elde edilmesi iĢlemidir [14] .",background
"Günümüzde farklı amaçlarla veya farklı yöntemlerle çalıĢmalara konu olmuĢ birçok görüntü füzyon tekniği mevcuttur [15, .",background
"BirleĢtirilecek görüntülerin sayısından bağımsız olarak, görüntü mozaikleme iĢlemi her adımda sadece iki resim arasında gerçekleĢir [17] .",background
"Görüntü mozaikleme iĢlemi [3] (Image mosaicing process)",other
"(SIFT -Scale Invariant Feature Transform) yöntemi bu dezavantajları ortadan kaldırmaktadır [19] .",background
"Son olarak aynı düzlemde gösterilen görüntülerin üst üste gelen kısımlarındaki renk farklılıklarını ortadan kaldırmak için renklerde harmanlama yapılır [20] .",background
"Özellik tabanlı görüntü mozaikleme adımları ġekil 3'te verilmiĢtir. [20] (Steps of feature-based image mosaicing)",basis
"Bu yüzden resimde yer alan nesnelerin kenar, köĢe veya kabarcık gibi karakteristik bölgeleri tespit edilerek, sadece bu bölgeler üzerinden kıyaslama ve eĢleĢtirme iĢlemi yapılmaktadır [21] .",background
"Harris [22] , SIFT  , Susan  , Canny  , Kitchen-Rosenfeld   algoritmaları bunlardan bir kaçıdır.",background
"KöĢe bulma algoritması olan Moravec [27] , komĢu pikseller arasındaki değer farkını temel alarak köĢe tespiti yapan ilk algoritmadır.",background
"Anahtar nokta tespiti için kullanılan SIFT operatörünün en önemli özelliği, görüntünün boyutundan, ıĢık miktarından, kamera açısının değiĢiminden, kontrast ya da gürültüden etkilenmemesidir [28] .",background
"Gauss farkı yöntemi [29] (Difference of Gaussian method)",other
"Tespit edilen zayıf ve gerçek uç noktalar [30] (Detected weak and real interest points)",other
"m(x,y) yönelim büyüklüğü formülü (1) ile, θ(x,y) yönelim açısının formülü (2) ile verilmiĢtir [31] .",basis
"Etkili bir eĢleĢtirme için en yakın komĢu mesafesi karĢılaĢtırılması yapılır [32] .",basis
"DönüĢüm parametrelerini tahmin etmede kullanılan RANSAC algoritması, her adımda rastgele verileri kullanarak en iyi sonuca ulaĢmaya çalıĢan iteratif bir yöntemdir [33] .",basis
"Çalışmamızı çok yakın bir şifreleme yöntemi bulunmamakla beraber, kaynaklarda görülen en yakın şifreleme yöntemleri Polybius [1] ve Tabula Recta   şifreleme yöntemleridir.",discuss
"Günümüzde otomatik yüz tanıma [1] , konuşma tanıma   doğal dil işleme  , Go oyunu   gibi birçok karmaşık problem derin yapay sinir ağları ile çözülebilmektedir  .",background
"Ülkemizde de uygulama örnekleri yaygınlaşmaktadır [46, .",background
"Bunlardan bazıları eğitim sırasında ağa nöron ekleme veya çıkarma (budama) üzerine kuruludur [6, .",background
"Bazıları birden fazla ağ topolojisini eğiterek doğrulama kümesindeki performanslarına göre en iyi ağ yapısını seçmeyi hedefler [9, .",background
"Yerel bağlantı alanının hem açıklığının, hem de konumunun değişebilir olması dolayısıyla yeni nöron modeline odaklanan nöron adı da verilmiştir [13, .",background
"Beyin milyarca sinir hücresinden (nöron) oluşan yapısı ile bütünleşik bir yapıdan ziyade birçok işlevsel bölgeye ayrılmış bir meta-organdır [14, .",background
"Bütün bu işlevleri aynı anda yapabilmesinin nedeni beynin farklı bölgelerinde, farklı sensörlerden (sinir hücrelerinden) gelen bilgileri paralel bir şekilde işleyebilmesi ve bölümler arasında bilgi taşıyabilmesidir [16] .",background
"Beyin yeni problemlerin çözümü için çalıştıkça yeni yerel (lokal) bağlantılar kurar, gerek görülmeyen bazı bağlantıların zayıflamasına izin verir [17] .",background
"Aksonların doğru hedef hücreleri bulmak için mekanik ve biyokimyasal ipuçlarını/gradyanları izlediklerini gösteren çalışmalar mevcuttur [18] .",background
"mimarilerinde eğitilmiş olan bağlantı ağırlıkları farklı problemlere transfer edilebilmekte ve bir miktar daha eğitim ile başarılı sonuçlar alınabilmektedir [19] .",background
"Ancak ağ yapısını özyineleyen şekilde kurgulayan, evrimsel metodlarla veya pekiştirmeli öğrenme ile öğrenen çalışmalar bulunmaktadır [20, .",background
"Tam bağlı bir nöron girdi uzayında bütün girdilere bağlıdır [23] .",background
"Nöron diğer 𝑚 nörondan kendisine ulaştırılan girdileri ağırlıklarla çarpar, toplar ve bir transfer işlevinden (𝑓) geçirerek çıktısı 𝑎'yı hesaplar (1) .",background
"Yerel bağlı nöronun tam bağlı nörondan farkı girdi uzayının sadece sınırlı bir bölgesine bağlantı kurulmasıdır [24] .",background
"Bu özellik ile uzamsal sabitlik gösteren problemlerde farklı istatiksel özellikler çıkartılmasını kolaylaştırır [25] .",background
"Örneğin yüz tanıma probleminde gözler ve ağız arasında uzamsal bir ilişki bulunur [26] .",background
"Başka bir deyişle girdi uzayının farklı bölgelerinden bilgi toplayan nöronların bağlantı ağırlıkları ortaktır/paylaşılır [5, .",background
"Evrişimsel çok katmanlı mimarilerin biyolojik görü sisteminde iç temporalde bulunan yapıyı temsil ettiği gösterilmiştir [29] .",background
"RosenBlatt'ın perseptron modelinden [30] bu yana farklı nöron modelleri tartışılırken yerel almaç alanları da söz konusu olmuştur.",background
"Bir grup çalışma, nöronun girdi değer uzayının bir kısmında seçici olarak aktif olmasını yerel almaç alanı olarak tanımlar [31] .",background
"En tanınmış örneklerden biri radyal baz işlevli (ing radial basis function, RBF) nöronlardan oluşan yapay sinir ağıdır [32] .",background
"self organizing map, SOM) ağlarında giriş değer uzayı iki boyutlu bir latis üzerinde yerleşmiş nöronlar üzerine izdüşümlenir [33] .",background
"Örneğin nöroplastikliği Hebb kuralı ile uygulama denemeleri olmuştur [35, .",background
"visual attention) modellenmesi probleminde konuma duyarlı ağ tasarımları sıkça görülen bir yaklaşımdır [37] .",background
"Cheung [41] çalışmasında görsel dikkat için Gauss çekirdek fonksiyonları kullanılarak bir retinal gözatış modeli sunulmuştur.",background
"Deneyler Python programlama dilinde, numpy, Theano [43] ve Lasagne kütüphaneleri kullanılarak kodlanmıştır.",basis
"Girdi (60)-> OK ( İlk iki deneyde odakların rastgele veri konumlarından uzaklaşarak anlamlı veriye yöneldiği görülmüştür.",other
"Günümüz çağdaş toplumlarının gelişmişlik düzeylerini, ortaya çıkardıkları bilim ve teknoloji belirlemektedir [1] .",background
"Hemen hemen insanoğlunun var olmasına dayanmakta olan teknoloji temellerini insanların mağarada yaptığı çizimler, yaptıkları süs eşyaları, çanak, çömlek gibi ilk insanların maddi kültürünü oluşturan ürünlerle atmıştır [2] .",background
"Dış etkenlerden sayılabilecek en önemli değişim ise teknoloji alanında yaşanan yeniliklerdir [3] .",background
"Teknoloji alanında gerçekleşen hızlı gelişmeler hayatın her alanında olduğu gibi öğrenme ortamlarında da yeniliklerin ortaya çıkmasını zorunlu kılmış ve bu teknolojilerin eğitimde ne denli etkili olduğu sorusunu gündeme getirmiştir [4] .",background
"Sanal ortamlar öğrenmeöğretme açısından da büyük faydalar sağlamış ve sanal üniversiteler, sanal sınıf ortamları kurulmuştur [5] .",background
"Sanal eğitim ortamlarının kurulmasındaki en önemli nedenler ise özellikle yükseköğretimdeki kapasite sorunları ve çalışanların eğitim talebi olmuştur [1] .",background
"Eğitim üzerinde etkisi olup olmadığı tartışılan teknolojilerden birisi de son zamanlarda kullanımı gittikçe artan Artırılmış Gerçeklik (AG) teknolojisidir [4] .",background
"Artırılmış Gerçeklikte ise sanal ve gerçeklik birlikte bulunmaktadır ve gerçek zamanla etkileşimdedir [6] .",background
"Yeni ortaya çıkan bir teknoloji olmamasına rağmen önceleri askeri tıp, turizm, mühendislik, reklamcılık, spor gibi alanlarda kullanılmış, öğrenme ve öğretme ortamlarındaki etkisi yeni yeni keşfedilmeye başlanmıştır [7] .",background
"konuları kolay bir şekilde öğrenip kavramalarını sağlamak, onların düşünce ve hayal gücünü geliştirmek, öğrencilerin öğrenme hızlarını kendilerinin belirlemesini sağlamak [8] .",background
"Küçük, Yılmaz ve Göktaş [4] .",other
"Lunch Rush uygulaması 6-8 yaş aralığında bulunan çocukların aritmetik problem çözme becerilerini geliştirmek, matematiksel problemleri görselleştirilmek [13] ve öğrenmeyi hızlandırmak için geliştirilmiş 3D bir oyundur  .",background
"Reitmary ve Schmalstieg [15]",other
"Özgöbek ve Erdur de yayınladıkları çalışmalarında pek çok okuyucunun ilgisini çeken makaleleri bulabilmek için çokça zaman harcadığını belirtmektedir [1] .",background
"Günümüzde alışverişten, video ve fotoğraf içerikli uygulamalara kadar öneri sistemleri yaygınlıkla kullanılmaktadır [1] .",background
"Çünkü önerilen haberler ne kadar fazla okunursa, öneri sistemi o kadar başarılı olmuş demektir [2] .",background
"Bu yöntemler yoğun olarak içerik benzerliklerini ve kullanıcı profillerini ele alır [2] .",basis
"Yapılandırılmamış metinler düzensiz yapıları, sayısal olarak bir karşılıklarının olmaması, matematiksel düzlemde herhangi bir şekilde konumlandırılamamaları ve yapısal hale getirilmesindeki zorluklardan dolayı, veri madenciliği ve metin madenciliği bilgisi de bunları uygulayabilmek için bilinmesi gereken öncelikli konulardır [3] .",background
"Örneğin, Servet Taşçı çalışmasında kullanıcıların tercihlerini belirleyip daha sonra tavsiye edilebilecek nesnelerin kullanıcı ile ilişkisini kurarak, nesne kullanıcı matrisiyle tavsiye sistemini oluşturmuşlardır [2] .",discuss
"Başka bir çalışmada Liu ve Dolan farklı bir yaklaşım getirerek kullanıcıların makaleler üzerinde durdukları süreleri hesaplamışlardır [4] .",discuss
"Pazzani çalışmasında kullanıcıların son okuduğu haberlere dikkat ederek öneri işlemini gerçekleştirmiştir [5] .",discuss
